tag_id,image_id,p1_x,p_1y, p2_x, p2_y, p3_x, p3_y, p4_x, p4_y,general_class,sub_class,sunroof,luggage_carrier,open_cargo_area,enclosed_cab,spare_wheel,wrecked,flatbed,ladder,enclosed_box,soft_shell_box,harnessed_to_a_cart,ac_vents,color
15036,16490,3988.399902,1227.588745,3986.710693,1213.288208,4002.600098,1211.411255,4004.289307,1225.711792,small vehicle,sedan,0,0,0,0,0,0,0,0,0,0,0,-1,black
31658,16490,3380.804152,33.3709452,3329.811654,128.4650618,3358.064254,142.9359057,3409.056752,44.39635003,large vehicle,truck,-1,-1,0,-1,-1,0,-1,0,1,0,0,-1,red
26971,17122,3948.334473,1426.797241,3958.876221,1410.750122,4000.665527,1438.202759,3990.123779,1454.249878,small vehicle,sedan,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,red
19301,12193,1977.798007,1009.010733,1983.435998,992.0967598,2034.177918,1009.010733,2027.913483,1027.177593,small vehicle,sedan,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,silver/grey
35906,12193,3196.620177,1284.240545,3193.174738,1311.804057,3288.957942,1321.451286,3292.403381,1293.198686,large vehicle,truck,-1,-1,0,-1,-1,0,1,0,0,0,0,-1,red
33775,12193,3467.501709,22.04482651,3464.846924,0.608573914,3510.498291,-5.044826031,3513.153076,16.39142609,small vehicle,sedan,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,blue
24690,19725,2456.478109,2010.104212,2441.469776,2035.118099,2519.846623,2077.641707,2534.021159,2054.295413,large vehicle,dedicated agricultural vehicle,-1,-1,0,-1,-1,0,0,0,0,0,0,-1,yellow
27442,19531,737.0605469,1103.635864,753.9273071,1117.129272,728.9394531,1148.364136,712.0726929,1134.870728,small vehicle,jeep,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,green
26689,19531,2306.666955,202.3900158,2292.688464,225.6874997,2371.382188,267.1052489,2383.289791,245.3609306,large vehicle,dedicated agricultural vehicle,-1,-1,0,-1,-1,0,0,0,0,0,0,-1,yellow
38403,13124,598.1452689,598.3002766,614.4524733,588.8565953,635.8547311,640.0047828,621.2560088,651.7264404,small vehicle,sedan,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,blue
39776,13124,1252.968384,2087.499262,1276.887134,2075.539887,1325.863622,2190.577685,1300.23639,2201.398072,large vehicle,crane truck,-1,-1,0,-1,-1,0,0,0,0,0,0,-1,white
37141,10056,1215.656616,619.9446411,1256.407715,605.6063232,1271.343384,648.0553589,1230.592285,662.3936768,small vehicle,sedan,1,0,0,0,0,0,-1,-1,-1,-1,-1,-1,blue
16961,15402,3653.153809,398.5894775,3661.980225,381.5385742,3686.846191,394.4105225,3678.019775,411.4614258,small vehicle,sedan,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,white
23952,10493,922.1565809,743.8635583,878.6679442,828.2522222,906.1072031,842.7484344,951.6667271,756.8066049,large vehicle,prime mover,-1,-1,0,-1,-1,0,1,0,0,0,0,-1,green
24995,12170,1035.261957,2516.16752,987.4244568,2593.049217,1022.733088,2609.564544,1064.306154,2530.404871,large vehicle,truck,-1,-1,0,-1,-1,0,1,0,0,0,0,-1,green
16614,15850,327.3215212,1166.70942,326.6324334,1192.894756,413.4574964,1195.651108,416.2138476,1170.843947,large vehicle,truck,-1,-1,0,-1,-1,0,1,0,0,0,0,-1,red
12342,13124,1481.289917,1292.525513,1470.598633,1279.566406,1510.710083,1246.474487,1521.401367,1259.433594,small vehicle,sedan,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,silver/grey
38576,14858,2837.359375,87.09483337,2847.571777,93.39611816,2817.640625,141.9051819,2807.428223,135.6038818,small vehicle,sedan,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,white
19177,15561,374.566474,516.9364162,374.566474,557.5144509,517.1098266,552.3121387,518.150289,516.9364162,large vehicle,cement mixer,-1,-1,0,-1,-1,0,0,0,0,0,0,-1,white
25091,16084,574.432251,505.0554199,588.7363892,503.3970337,596.567749,570.9445801,582.2636108,572.6029663,small vehicle,hatchback,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,silver/grey
11416,12297,551.1767578,89.94419098,541.7778931,37.9874649,723.8232422,5.055809021,733.2221069,57.0125351,large vehicle,prime mover,-1,-1,0,-1,-1,0,1,0,0,0,0,-1,white
31160,18410,71.07730103,134.5583191,68.40059662,113.1248169,129.922699,105.4416733,132.5993958,126.8751831,small vehicle,minivan,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,white
23252,10673,695.4605103,132.450943,681.59375,91.53695679,861.5394897,30.54903412,875.40625,71.4630127,large vehicle,prime mover,-1,-1,0,-1,-1,0,0,0,1,0,0,-1,white
22593,13961,707.0151367,108.9775238,710.6990967,82.83582306,782.9848633,93.0224762,779.3009033,119.1641769,small vehicle,hatchback,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,blue
22033,10862,131.4703217,86.14946747,164.0671082,78.00027466,181.5296783,147.8505249,148.9328918,155.9997253,small vehicle,hatchback,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,black
37588,12418,159.6025543,355.0345154,157.7286682,343.1817322,184.3974457,338.9654846,186.2713318,350.8182678,small vehicle,sedan,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,silver/grey
37674,15392,769.086731,529.730835,795.1171875,512.5303345,835.913269,574.269165,809.8828125,591.4696655,small vehicle,hatchback,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,black
17733,17478,530.7302246,216.7163391,551.9885864,187.6632538,584.2697754,211.2836609,563.0114136,240.3367462,small vehicle,sedan,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,black
37409,12670,59.30635838,301.5606936,74.9132948,452.4277457,122.7745665,446.1849711,105.0867052,293.2369942,large vehicle,crane truck,-1,-1,0,-1,-1,0,0,0,0,0,0,-1,white
39560,12670,78.04389954,177.3865509,71.36349487,134.7062073,186.9561005,116.6134415,193.6365051,159.2937927,large vehicle,truck,-1,-1,0,-1,-1,0,0,0,0,0,0,-1,white
39055,13587,167.8662567,274.9852905,161.6773071,244.4052887,287.133728,219.0147095,293.3226929,249.5947113,large vehicle,truck,-1,-1,0,-1,-1,0,0,0,0,0,0,-1,white
