,Epoch,MAP
0,1.0,0.15090474038573123
2,3.0,0.1926761268762283
4,5.0,0.21303430783727717
6,7.0,0.2220781488942646
8,9.0,0.22648037083768371
10,11.0,0.22829560563665935
12,13.0,0.23502931497504945
14,15.0,0.2531728187508956
16,17.0,0.2659919555470486
18,19.0,0.2544254677635726
20,21.0,0.2792185372323212
22,23.0,0.29086812859626915
24,25.0,0.29613480360759586
26,27.0,0.32041762478857794
28,29.0,0.31207099305853586
30,31.0,0.3111981488449421
32,33.0,0.32381451291636515
34,35.0,0.3215968565762754
36,37.0,0.3227096999788371
38,39.0,0.326748932151994
40,41.0,0.3277870445984792
42,43.0,0.3421503244890333
44,45.0,0.33029932265204015
46,47.0,0.34386634751670847
48,49.0,0.34326033979969606
50,51.0,0.33102779309683267
52,53.0,0.3481267811656143
54,55.0,0.3590746588285811
56,57.0,0.3518700704889417
58,59.0,0.36049532794286426
60,61.0,0.3399275020127892
62,63.0,0.35525482319403284
64,65.0,0.3605749012241011
66,67.0,0.348235083571567
68,69.0,0.3601443058244561
70,71.0,0.3632192883759009
72,73.0,0.37428314648987365
74,75.0,0.365835979641563
76,77.0,0.3656836701754418
78,79.0,0.3692897202690537
80,81.0,0.3628430381713253
82,83.0,0.3651924266722388
84,85.0,0.37245802223662083
86,87.0,0.3798838751203174
88,89.0,0.3800061452377984
90,91.0,0.3405669021129403
92,93.0,0.35718495224894786
94,95.0,0.36750742707263384
96,97.0,0.3658978784980536
98,99.0,0.37987334032264514
99,100.0,0.34427286573675947
